epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,780.385,2.15922,1.49632,1.11247,0.55667,0.28242,0.31184,0.13651,2.03397,1.3647,1.06236,0.0089308,0.0089308,0.0089308
110,787.542,2.1754,1.51305,1.13566,0.54201,0.31282,0.30392,0.13567,1.95211,1.43106,1.05618,0.0089209,0.0089209,0.0089209
111,794.87,2.11062,1.4794,1.1195,0.50697,0.2955,0.30426,0.14543,1.93209,1.39715,1.02949,0.008911,0.008911,0.008911
112,801.479,2.12771,1.46557,1.10069,0.45141,0.29996,0.32722,0.13083,1.99933,1.34152,1.04014,0.0089011,0.0089011,0.0089011
113,807.61,2.10495,1.4753,1.11506,0.60598,0.32169,0.31916,0.15022,1.84483,1.31471,1.01553,0.0088912,0.0088912,0.0088912
114,813.724,2.14956,1.4626,1.11292,0.58278,0.32575,0.33139,0.14397,1.76179,1.27661,1.00649,0.0088813,0.0088813,0.0088813
115,820.656,2.09117,1.42721,1.10052,0.62504,0.33883,0.35742,0.15152,1.88651,1.25858,1.014,0.0088714,0.0088714,0.0088714
116,827.854,2.11152,1.44104,1.09349,0.55039,0.29543,0.30926,0.14356,1.97231,1.45207,1.04304,0.0088615,0.0088615,0.0088615
117,835.1,2.10809,1.44658,1.1175,0.48979,0.31717,0.30766,0.12852,1.90748,1.42157,1.05109,0.0088516,0.0088516,0.0088516
118,842.41,2.07997,1.41476,1.07932,0.63045,0.3079,0.31363,0.13536,2.14607,1.50686,1.04794,0.0088417,0.0088417,0.0088417
119,849.685,2.09269,1.39842,1.09018,0.4583,0.31032,0.32531,0.14432,1.87191,1.37476,1.01522,0.0088318,0.0088318,0.0088318
120,855.168,2.12469,1.45973,1.09225,0.50659,0.30412,0.31818,0.13193,1.88809,1.31218,1.00648,0.0088219,0.0088219,0.0088219
121,862.005,2.06314,1.39366,1.09495,0.58572,0.2889,0.31499,0.15323,1.90003,1.20858,1.01869,0.008812,0.008812,0.008812
122,869.126,2.0907,1.43697,1.07657,0.48915,0.2738,0.31682,0.14958,2.11028,1.46266,1.04149,0.0088021,0.0088021,0.0088021
123,876.461,2.0922,1.38716,1.0969,0.59789,0.31709,0.32035,0.13651,2.00403,1.39683,1.01668,0.0087922,0.0087922,0.0087922
124,883.641,2.03006,1.41312,1.08361,0.61231,0.30705,0.30181,0.12978,1.90225,1.39335,0.99737,0.0087823,0.0087823,0.0087823
125,890.922,2.02692,1.35132,1.09822,0.70175,0.33799,0.33642,0.14211,1.81537,1.46475,1.01908,0.0087724,0.0087724,0.0087724
126,898.224,2.10903,1.4113,1.09836,0.53086,0.27971,0.29973,0.14369,1.92734,1.44907,1.04283,0.0087625,0.0087625,0.0087625
127,905.423,2.04254,1.33716,1.07692,0.51114,0.32586,0.30106,0.13808,1.84881,1.38589,1.03816,0.0087526,0.0087526,0.0087526
128,912.614,2.10698,1.39239,1.09026,0.59732,0.35184,0.33726,0.15107,1.95273,1.3549,1.03357,0.0087427,0.0087427,0.0087427
129,918.054,2.00159,1.32631,1.08073,0.60251,0.35184,0.34392,0.15597,1.96286,1.32038,1.03198,0.0087328,0.0087328,0.0087328
130,923.323,2.05839,1.37445,1.07995,0.5532,0.32159,0.32539,0.14867,1.94582,1.35051,1.00966,0.0087229,0.0087229,0.0087229
131,929.711,2.09382,1.41621,1.12132,0.56694,0.32579,0.32188,0.14055,1.90257,1.43296,1.02315,0.008713,0.008713,0.008713
132,936.867,2.10064,1.39194,1.11557,0.46889,0.3156,0.32072,0.15082,2.02341,1.43485,1.05263,0.0087031,0.0087031,0.0087031
133,944.048,2.04585,1.37806,1.10737,0.50714,0.36257,0.33724,0.15761,1.89587,1.36931,0.99882,0.0086932,0.0086932,0.0086932
134,951.181,2.02163,1.36561,1.04753,0.62888,0.30412,0.3284,0.1436,1.97625,1.34132,1.00931,0.0086833,0.0086833,0.0086833
135,958.253,2.07065,1.39948,1.07711,0.46462,0.3172,0.32614,0.13289,2.08803,1.35545,1.04821,0.0086734,0.0086734,0.0086734
136,965.129,2.02112,1.34203,1.06958,0.43314,0.29543,0.30273,0.13502,2.03179,1.37284,1.09612,0.0086635,0.0086635,0.0086635
137,971.753,2.06975,1.38589,1.08263,0.4963,0.29554,0.30122,0.14375,1.97475,1.46252,1.07134,0.0086536,0.0086536,0.0086536
138,978.943,2.06649,1.39841,1.0805,0.55228,0.31274,0.31324,0.14107,1.80925,1.34549,1.00562,0.0086437,0.0086437,0.0086437
139,986.172,2.12487,1.44415,1.08925,0.39697,0.31717,0.30596,0.13044,2.01868,1.36213,1.04182,0.0086338,0.0086338,0.0086338
140,993.451,2.00451,1.34774,1.09428,0.58303,0.31713,0.32239,0.14765,1.90419,1.30567,1.02667,0.0086239,0.0086239,0.0086239
141,1000.76,2.01344,1.32084,1.05626,0.57699,0.33013,0.33275,0.14243,1.89001,1.35216,1.0379,0.008614,0.008614,0.008614
142,1008.08,1.96913,1.28555,1.08384,0.48608,0.33452,0.32627,0.13991,1.88373,1.36734,1.03846,0.0086041,0.0086041,0.0086041
